type,director,cast,date_added,year_added,release_year,duration,listed_in,Type,Netflix Exclusive,Score
Movie,Steve Gukas,"Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid","October 18, 2019",2019,2016,121 min,"Dramas, International Movies, Thrillers",,,
Movie,Clay Glen,"Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou","July 1, 2017",2017,2011,95 min,"Children & Family Movies, Dramas, Sports Movies",,,
Movie,Everardo González,,"October 28, 2019",2019,2019,28 min,"Documentaries, International Movies",,,
Movie,Andrew Lau Wai-Keung,"Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","December 1, 2018",2018,2011,122 min,"Dramas, International Movies, Romantic Movies",,,
Movie,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki","April 1, 2018",2018,2016,104 min,"Dramas, Independent Movies, International Movies",,,
Movie,John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George","January 15, 2018",2018,2016,94 min,"Dramas, Sci-Fi & Fantasy",,,
Movie,Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey","November 17, 2017",2017,2017,92 min,"Children & Family Movies, Dramas, Romantic Movies",,,
Movie,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Raj Bajaj, Richard Ashton, Tahirah Sharif, Joel McVeagh, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu, Billy Angel","December 5, 2019",2019,2019,85 min,"Children & Family Movies, Dramas, Romantic Movies",,,
Movie,John Schultz,"Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh","November 30, 2018",2018,2018,93 min,"Children & Family Movies, Dramas, Romantic Movies",,,
Movie,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","December 20, 2016",2016,2016,22 min,Movies,,,
Movie,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","January 1, 2020",2020,2004,95 min,"Children & Family Movies, Comedies",,,
Movie,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson","December 1, 2019",2019,2019,86 min,"Children & Family Movies, Comedies, Music & Musicals",,,
Movie,Stephen Gyllenhaal,"Debra Winger, Barbara Hershey, Gabriel Byrne, Laurie Metcalf, John Terry, Maggie Gyllenhaal, Jake Gyllenhaal, Chloe Webb, David Strathairn","April 1, 2018",2018,1993,101 min,"Dramas, Romantic Movies",,,
Movie,Savage Steve Holland,"Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings","November 2, 2019",2019,2014,68 min,"Children & Family Movies, Comedies",,,
Movie,Tyler Perry,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry","January 17, 2020",2020,2020,121 min,"Dramas, Thrillers",,,
Movie,Tom Fassaert,Tom Fassaert,"October 16, 2016",2016,2015,111 min,"Documentaries, International Movies",,,
Movie,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","December 15, 2019",2019,2016,110 min,Dramas,,,
Movie,Robbie Countryman,"Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree","December 9, 2019",2019,2019,29 min,Movies,,,
Movie,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh, Gaurav Pandey, Shraddha Kapoor, Amrita Puri","November 15, 2017",2017,2016,142 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",,,
Movie,Bille August,"Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sarah Viktoria Bjerregaard, Anders Hove, Jens Albinus","April 20, 2019",2019,2018,168 min,"Dramas, International Movies",,,
Movie,David Wain,"Will Forte, Domhnall Gleeson, Martin Mull, Joel McHale, Matt Lucas, Thomas Lennon, Seth Green, Jackie Tohn, Natasha Lyonne, Emmy Rossum, Elvy Yost, Matt Walsh, John Gemberling, Rick Glassman, Camille Guaty","January 26, 2018",2018,2018,102 min,Comedies,,,
Movie,David Lowery,"Casey Affleck, Rooney Mara, Liz Franke, Rob Zabrecky, Will Oldham, Sonia Acevedo","January 7, 2020",2020,2017,92 min,"Dramas, Independent Movies",,,
Movie,Roman Coppola,"Charlie Sheen, Jason Schwartzman, Bill Murray, Katheryn Winnick, Patricia Arquette, Aubrey Plaza, Mary Elizabeth Winstead, Dermot Mulroney","July 15, 2018",2018,2012,86 min,"Comedies, Independent Movies",,,
Movie,Richard Mears,Julie Walters,"November 1, 2016",2016,2015,59 min,Documentaries,,,
Movie,Erik Nelson,,"December 25, 2017",2017,2017,93 min,Documentaries,,,
Movie,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey","September 17, 2019",2019,2019,80 min,"Horror Movies, Independent Movies",,,
Movie,Thomas Stuber,"Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic, Marko Dyrlich, Peter Schneider, Reiner Schöne, Udo Kroschwald","February 15, 2017",2017,2015,109 min,"Dramas, Independent Movies, International Movies",,,
Movie,Jim Fall,"Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox","November 4, 2019",2019,2011,92 min,"Children & Family Movies, Comedies, Romantic Movies",,,
Movie,Herman Yau,"Francis Chun-Yu Ng, Louis Koo, Anita Yuen, Tat-Ming Cheung, Jocelyn Choi, Ng Siu-hin, Lam Suet, Anthony Wong Chau-Sang, Lo Hoi-pang","April 30, 2019",2019,2019,92 min,"Comedies, International Movies",,,
Movie,Andy Goddard,"Patrick Wilson, Jessica Biel, Vincent Kartheiser, Haley Bennett, Eddie Marsan, Jon Osbeck, Radek Lord, Christine Dye","May 1, 2017",2017,2016,96 min,Thrillers,,,
Movie,Yeo Siew Hua,"Peter Yu, Liu Xiaoyi, Guo Yue, Ishtiaque Zico, Jack Tan","April 13, 2019",2019,2019,95 min,"Dramas, International Movies",,,
Movie,Chris Bell,,"August 27, 2018",2018,2018,87 min,Documentaries,,,
Movie,Alan Rickman,"Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Steven Waddington, Jennifer Ehle, Rupert Penry-Jones, Paula Paul, Danny Webb, Phyllida Law","April 17, 2019",2019,2014,113 min,"Dramas, Independent Movies, International Movies",,,
Movie,Maryo J. De los Reyes,"Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid","March 14, 2019",2019,2007,117 min,"Dramas, International Movies, Romantic Movies",,,
Movie,Thomas Sorriaux,"Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez","October 15, 2016",2016,2016,97 min,"Comedies, International Movies, Sports Movies",,,
Movie,Ahmad El-Badri,"Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed","April 25, 2019",2019,2012,98 min,"Comedies, International Movies",,,
Movie,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola","July 22, 2018",2018,2014,125 min,"Dramas, Thrillers",,,
Movie,"Christopher S. Rech, Brandon Kimber",,"April 28, 2017",2017,2014,91 min,Documentaries,,,
Movie,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman","December 1, 2019",2019,1998,82 min,"Comedies, Cult Movies",,,
